feature,importance_mean,importance_std
Contract Length,0.11916675686071176,0.0043406781792719945
Payment Delay,0.09209032161062725,0.0025224474070948554
support_call_band,0.07952191181516514,0.000798801408060986
Total Spend,0.0506095281734427,0.001987441394438068
Support Calls,0.03135550086876874,0.0009248765601693011
payment_delay_band,0.03073042192781091,0.0006355490750552695
Gender,0.007322022356553326,8.129600971409237e-05
Last Interaction,0.007306754059311175,0.0004899857525588082
Age,0.0059652167054355205,0.00029468825882919525
tenure_band,0.001014264721683274,9.705968501613383e-05
Subscription Type,0.0001726387859429431,5.9323583588817856e-05
Usage Frequency,0.00012569588448385627,3.3636736826419256e-05
usage_frequency_band,6.864637278288417e-05,6.336191757632631e-05
usage_per_tenure,2.0443531977313672e-05,5.049202450862702e-05
spend_per_tenure,1.3832237341859788e-05,4.43851874431838e-05
Tenure,-5.961003360921424e-07,2.6841615394928923e-06
support_calls_per_tenure,-1.6934668637021606e-06,3.7498231147371845e-05
