threshold,precision,recall,f1,predicted_positive_rate
0.1,0.7739668035209355,0.96896,0.8605557874543727,0.7099821928839588
0.15,0.8222038738087866,0.95596,0.8840512697209019,0.6593623464561571
0.2,0.8595188703279106,0.94468,0.9000895630466681,0.6232944298887338
0.25,0.8865644416576413,0.93318,0.9092751561449492,0.5969240191908537
0.3,0.9088867879933822,0.92292,0.9158496407732306,0.575861716968934
0.35,0.9260040996083048,0.91254,0.9192227493880512,0.5588598908888813
0.4,0.9405633039381242,0.90232,0.921044841630345,0.544047092449556
0.45,0.9529866194327664,0.89312,0.9220826149351119,0.5314800322115985
0.5,0.9634979163484826,0.8832,0.9216032055763672,0.5198430251681468
0.55,0.9721677511364649,0.87254,0.9196635608583835,0.5089886238615355
0.6,0.979404410093203,0.86168,0.9167783806787956,0.49893951251602076
0.65,0.9852965012619538,0.85104,0.9132604333222445,0.48983179647714
0.7,0.9899521192537207,0.83942,0.9084926999794366,0.4808715278959248
0.75,0.9935121107266436,0.82692,0.9025934334614041,0.47201333832386266
0.8,0.9965596893890991,0.81108,0.894303923082012,0.4615559109417356
0.85,0.998516245850518,0.7941,0.884653090325743,0.45100774666258353
0.9,0.9995601893772799,0.77272,0.8716230697212728,0.43840666008824164
