feature,importance_mean,importance_std
Contract Length,0.05250077164511099,0.001336232318948013
Total Spend,0.031295694393013794,0.0009855931417564008
Age,0.022221692505787205,0.0005836104741090658
Payment Delay,0.017162236713150314,0.0007304998074006805
Gender,0.010988100387685976,0.00039340258959848136
Last Interaction,0.009797010629972699,0.000265954953397623
Support Calls,0.0072960987658053185,0.000385178914576505
support_call_band,0.003722958196147171,0.00010683751651652638
Subscription Type,0.00038231030525925913,0.00013844073177557003
tenure_band,0.0002325604174446457,7.940313445433715e-06
Usage Frequency,0.00020810675593426384,3.807082249630753e-06
Tenure,0.000180103587877678,2.6401911158676842e-05
support_calls_per_tenure,0.00016919766127609925,2.4496290336984595e-05
spend_per_tenure,7.708661163104609e-05,1.696013007505282e-05
usage_per_tenure,2.84908865130958e-05,4.0234719939538515e-06
usage_frequency_band,1.7246266538872845e-05,1.3915311093874022e-06
payment_delay_band,6.231958057008787e-07,4.858331831315147e-07
