feature,importance_mean,importance_std
Support Calls,0.04268139370480387,0.0006341846807714479
Age,0.03424381021265388,0.0004819117683361476
Total Spend,0.03319562196275879,0.0007390981420505203
Payment Delay,0.024915490245718857,0.0010539251341637917
Contract Length,0.024731247824826497,0.0009426275511369504
Last Interaction,0.0067318356068532354,0.0003083578090612887
Gender,0.006087227606024388,0.000387366820091593
Tenure,0.0006292516433097731,6.270906542859205e-05
Subscription Type,0.00038986316747106436,0.0001235547021174406
Usage Frequency,0.00033763664939752874,3.347833072950041e-05
tenure_band,8.348114250807577e-05,4.621664366421021e-06
support_call_band,3.700743415417188e-17,5.233641528945917e-17
support_calls_per_tenure,0.0,0.0
spend_per_tenure,0.0,0.0
usage_per_tenure,0.0,0.0
payment_delay_band,0.0,0.0
usage_frequency_band,0.0,0.0
