recommended_action,customers
standard retention outreach,112607
billing/payment assistance,63242
product-engagement campaign,46990
billing/payment assistance; product-engagement campaign,28103
proactive service recovery; billing/payment assistance,24462
proactive service recovery,22944
billing/payment assistance; contract-retention offer,14725
contract-retention offer,13837
proactive service recovery; billing/payment assistance; product-engagement campaign,12310
proactive service recovery; billing/payment assistance; contract-retention offer,12147
proactive service recovery; contract-retention offer,11534
proactive service recovery; product-engagement campaign,11472
onboarding intervention,9813
billing/payment assistance; contract-retention offer; product-engagement campaign,7358
contract-retention offer; product-engagement campaign,6894
proactive service recovery; billing/payment assistance; contract-retention offer; product-engagement campaign,6112
billing/payment assistance; onboarding intervention,5978
proactive service recovery; contract-retention offer; product-engagement campaign,5717
product-engagement campaign; onboarding intervention,4915
billing/payment assistance; product-engagement campaign; onboarding intervention,3021
proactive service recovery; billing/payment assistance; onboarding intervention,2704
proactive service recovery; onboarding intervention,2563
billing/payment assistance; contract-retention offer; onboarding intervention,1676
contract-retention offer; onboarding intervention,1550
proactive service recovery; billing/payment assistance; contract-retention offer; onboarding intervention,1338
proactive service recovery; billing/payment assistance; product-engagement campaign; onboarding intervention,1326
proactive service recovery; contract-retention offer; onboarding intervention,1288
proactive service recovery; product-engagement campaign; onboarding intervention,1278
billing/payment assistance; contract-retention offer; product-engagement campaign; onboarding intervention,831
contract-retention offer; product-engagement campaign; onboarding intervention,779
proactive service recovery; billing/payment assistance; contract-retention offer; product-engagement campaign; onboarding intervention,696
proactive service recovery; contract-retention offer; product-engagement campaign; onboarding intervention,622
